"","Trial.number","Immediate","X30.min","X60.min","X90.min","X120.min","Total","Traps","Remain","Lost","Unbanded","Scavenged","Dead","Alive","Stage.0","Stage.1","Stage.2","Stage.3","Air.temp","percent_lost","percent_dead","percent_alive","percent_scavenged","salinity"
"1",1,80,76,81,80,0,317,6,274,43,44,29,57,188,8,163,39,46,12.9,13.5646687697161,20.8029197080292,68.6131386861314,10.5839416058394,31.2
"2",2,37,55,55,55,0,202,6,188,14,24,24,13,151,0,45,97,23,12.9,6.93069306930693,6.91489361702128,80.3191489361702,12.7659574468085,29.9
"3",3,40,78,79,82,0,279,6,257,22,26,32,28,197,0,128,66,43,15.2,7.88530465949821,10.8949416342412,76.6536964980545,12.4513618677043,30.4
"4",4,60,60,63,60,0,243,6,215,28,22,15,31,169,5,122,41,35,10.7,11.522633744856,14.4186046511628,78.6046511627907,6.97674418604651,31.3
"5",5,40,40,40,40,0,160,6,153,7,10,9,60,84,2,67,33,44,13,4.375,39.2156862745098,54.9019607843137,5.88235294117647,28.6
"6",6,36,36,35,35,0,142,6,104,38,4,16,9,79,7,65,12,13,14.1,26.7605633802817,8.65384615384615,75.9615384615385,15.3846153846154,31.3
"7",7,50,50,50,50,50,250,6,209,41,17,53,40,116,0,68,45,53,14.3,16.4,19.1387559808612,55.5023923444976,25.3588516746411,31.4
"8",8,70,70,70,70,0,280,6,285,-5,14,54,48,183,1,97,66,81,12.8,-1.78571428571429,16.8421052631579,64.2105263157895,18.9473684210526,30.3
"9",9,39,39,39,39,0,156,6,117,39,9,22,16,79,0,57,28,12,13.6,25,13.6752136752137,67.5213675213675,18.8034188034188,26.2
"10",10,54,54,54,54,54,270,6,201,69,24,76,41,84,9,68,39,35,15.5,25.5555555555556,20.3980099502488,41.7910447761194,37.8109452736318,30
"11",13,56,56,56,56,0,224,6,212,12,6,27,68,117,0,140,34,21,12,5.35714285714286,32.0754716981132,55.188679245283,12.7358490566038,24.5
"12",14,30,30,30,30,0,120,3,108,12,3,24,9,75,0,81,4,8,12.3,10,8.33333333333333,69.4444444444444,22.2222222222222,26
"13",15,70,70,70,70,70,350,6,295,55,3,80,107,108,0,150,51,50,11.9,15.7142857142857,36.271186440678,36.6101694915254,27.1186440677966,27.5
"14",16,70,70,70,70,70,350,6,348,2,15,36,124,185,0,165,85,64,13.5,0.571428571428571,35.632183908046,53.1609195402299,10.3448275862069,30
"15",17,60,60,60,60,60,300,6,272,28,11,83,56,133,0,166,16,33,14.3,9.33333333333333,20.5882352941176,48.8970588235294,30.5147058823529,29
"16",18,70,69,70,70,70,349,6,344,5,12,49,143,152,0,200,68,38,11.5,1.43266475644699,41.5697674418605,44.1860465116279,14.2441860465116,25.6
"17",19,70,70,70,70,70,350,6,309,41,7,90,68,151,0,123,51,64,17.8,11.7142857142857,22.0064724919094,48.8673139158576,29.126213592233,25.1
"18",20,70,70,70,70,70,350,6,345,5,10,11,222,112,0,172,51,111,25.7,1.42857142857143,64.3478260869565,32.463768115942,3.18840579710145,25.4
"19",21,44,44,44,44,0,176,6,176,0,5,14,105,57,0,44,45,80,22.2,0,59.6590909090909,32.3863636363636,7.95454545454545,24.7
"20",22,70,70,70,70,70,350,6,343,7,4,44,217,82,0,203,30,77,25.4,2,63.265306122449,23.9067055393586,12.8279883381924,25.4
"21",23,60,60,60,60,60,300,6,297,3,3,20,193,84,0,124,66,89,18.7,1,64.983164983165,28.2828282828283,6.73400673400673,25.9
