"","Trial.number","Immediate","X30.min","X60.min","X90.min","X120.min","Total","Traps","Remain","Lost","Unbanded","Scavenged","Dead","Alive","Stage.0","Stage.1","Stage.2","Stage.3","Air.temp","Percent lost","Percent dead","Percent alive","Percent scavenged","salinity"
"1",1,80,76,81,80,0,317,6,274,43,44,29,57,188,8,163,39,46,12.9,13.6,20.8,68.6,10.6,31.2
"2",2,37,55,55,55,0,202,6,188,14,24,24,13,151,0,45,97,23,12.9,6.9,6.9,80.3,12.8,29.9
"3",3,40,78,79,82,0,279,6,257,22,26,32,28,197,0,128,66,43,15.2,7.9,10.9,76.7,12.5,30.4
"4",4,60,60,63,60,0,243,6,215,28,22,15,31,169,5,122,41,35,10.7,11.5,14.4,78.6,7,31.3
"5",5,40,40,40,40,0,160,6,153,7,10,9,60,84,2,67,33,44,13,4.4,39.2,54.9,5.9,28.6
"6",6,36,36,35,35,0,142,6,104,38,4,16,9,79,7,65,12,13,14.1,26.8,8.7,76,15.4,31.3
"7",7,50,50,50,50,50,250,6,209,41,17,53,40,116,0,68,45,53,14.3,16.4,19.1,55.5,25.4,31.4
"8",8,70,70,70,70,0,280,6,285,-5,14,54,48,183,1,97,66,81,12.8,-1.8,16.8,64.2,18.9,30.3
"9",9,39,39,39,39,0,156,6,117,39,9,22,16,79,0,57,28,12,13.6,25,13.7,67.5,18.8,26.2
"10",10,54,54,54,54,54,270,6,201,69,24,76,41,84,9,68,39,35,15.5,25.6,20.4,41.8,37.8,30
"11",13,56,56,56,56,0,224,6,212,12,6,27,68,117,0,140,34,21,12,5.4,32.1,55.2,12.7,24.5
"12",14,30,30,30,30,0,120,3,108,12,3,24,9,75,0,81,4,8,12.3,10,8.3,69.4,22.2,26
"13",15,70,70,70,70,70,350,6,295,55,3,80,107,108,0,150,51,50,11.9,15.7,36.3,36.6,27.1,27.5
"14",16,70,70,70,70,70,350,6,348,2,15,36,124,185,0,165,85,64,13.5,0.6,35.6,53.2,10.3,30
"15",17,60,60,60,60,60,300,6,272,28,11,83,56,133,0,166,16,33,14.3,9.3,20.6,48.9,30.5,29
"16",18,70,69,70,70,70,349,6,344,5,12,49,143,152,0,200,68,38,11.5,1.4,41.6,44.2,14.2,25.6
"17",19,70,70,70,70,70,350,6,309,41,7,90,68,151,0,123,51,64,17.8,11.7,22,48.9,29.1,25.1
"18",20,70,70,70,70,70,350,6,345,5,10,11,222,112,0,172,51,111,25.7,1.4,64.3,32.5,3.2,25.4
"19",21,44,44,44,44,0,176,6,176,0,5,14,105,57,0,44,45,80,22.2,0,59.7,32.4,8,24.7
"20",22,70,70,70,70,70,350,6,343,7,4,44,217,82,0,203,30,77,25.4,2,63.3,23.9,12.8,25.4
"21",23,60,60,60,60,60,300,6,297,3,3,20,193,84,0,124,66,89,18.7,1,65,28.3,6.7,25.9
