"","Trial.number","immediate","thirty_min","one_hour","oneandhalf_hour","two_hour","total","traps","air_temp","remain","lost","unbanded","scavenged","dead","alive","stage0","stage1","stage2","stage3","salinity"
"1",1,80,76,81,80,0,317,6,12.9,274,43,44,29,57,188,8,163,39,46,31.2
"2",2,37,55,55,55,0,202,6,12.9,188,14,24,24,13,151,0,45,97,23,29.9
"3",3,40,78,79,82,0,279,6,15.2,257,22,26,32,28,197,0,128,66,43,30.4
"4",4,60,60,63,60,0,243,6,10.7,215,28,22,15,31,169,5,122,41,35,31.3
"5",5,40,40,40,40,0,160,6,13,153,7,10,9,60,84,2,67,33,44,28.6
"6",6,36,36,35,35,0,142,6,14.1,104,38,4,16,9,79,7,65,12,13,31.3
"7",7,50,50,50,50,50,250,6,14.3,209,41,17,53,40,116,0,68,45,53,31.4
"8",8,70,70,70,70,0,280,6,12.8,285,-5,14,54,48,183,1,97,66,81,30.3
"9",9,39,39,39,39,0,156,6,13.6,117,39,9,22,16,79,0,57,28,12,26.2
"10",10,54,54,54,54,54,270,6,15.5,201,69,24,76,41,84,9,68,39,35,30
"11",13,56,56,56,56,0,224,6,12,212,12,6,27,68,117,0,140,34,21,24.5
"12",14,30,30,30,30,0,120,3,12.3,108,12,3,24,9,75,0,81,4,8,26
"13",15,70,70,70,70,70,350,6,11.9,295,55,3,80,107,108,0,150,51,50,27.5
"14",16,70,70,70,70,70,350,6,13.5,348,2,15,36,124,185,0,165,85,64,30
"15",17,60,60,60,60,60,300,6,14.3,272,28,11,83,56,133,0,166,16,33,29
"16",18,70,69,70,70,70,349,6,11.5,344,5,12,49,143,152,0,200,68,38,25.6
"17",19,70,70,70,70,70,350,6,17.8,309,41,7,90,68,151,0,123,51,64,25.1
"18",20,70,70,70,70,70,350,6,25.7,345,5,10,11,222,112,0,172,51,111,25.4
"19",21,44,44,44,44,0,176,6,22.2,176,0,5,14,105,57,0,44,45,80,24.7
"20",22,70,70,70,70,70,350,6,25.4,343,7,4,44,217,82,0,203,30,77,25.4
"21",23,60,60,60,60,60,300,6,18.7,297,3,3,20,193,84,0,124,66,89,25.9
