"","Trial.number","Immediate","X30.min","X60.min","X90.min","X120.min","Total","Traps","Remain","Lost","Unbanded","Scavenged","Dead","Alive","Stage.0","Stage.1","Stage.2","Stage.3","Air.temp","salinity"
"1",9,39,39,39,39,0,317,6,274,43,44,29,57,188,8,163,39,46,13.6,26.2
"2",4,60,60,63,60,0,202,6,188,14,24,24,13,151,0,45,97,23,10.7,31.3
"3",5,40,40,40,40,0,279,6,257,22,26,32,28,197,0,128,66,43,13,28.6
"4",6,36,36,35,35,0,243,6,215,28,22,15,31,169,5,122,41,35,14.1,31.3
"5",22,70,70,70,70,70,160,6,153,7,10,9,60,84,2,67,33,44,25.4,25.4
"6",1,80,76,81,80,0,142,6,104,38,4,16,9,79,7,65,12,13,12.9,31.2
"7",2,37,55,55,55,0,250,6,209,41,17,53,40,116,0,68,45,53,12.9,29.9
"8",8,70,70,70,70,0,280,6,285,-5,14,54,48,183,1,97,66,81,12.8,30.3
"9",7,50,50,50,50,50,156,6,117,39,9,22,16,79,0,57,28,12,14.3,31.4
"10",3,40,78,79,82,0,270,6,201,69,24,76,41,84,9,68,39,35,15.2,30.4
"11",10,54,54,54,54,54,224,6,212,12,6,27,68,117,0,140,34,21,15.5,30
"12",13,56,56,56,56,0,120,3,108,12,3,24,9,75,0,81,4,8,12,24.5
"13",15,70,70,70,70,70,350,6,295,55,3,80,107,108,0,150,51,50,11.9,27.5
"14",20,70,70,70,70,70,350,6,348,2,15,36,124,185,0,165,85,64,25.7,25.4
"15",17,60,60,60,60,60,300,6,272,28,11,83,56,133,0,166,16,33,14.3,29
"16",21,44,44,44,44,0,349,6,344,5,12,49,143,152,0,200,68,38,22.2,24.7
"17",19,70,70,70,70,70,350,6,309,41,7,90,68,151,0,123,51,64,17.8,25.1
"18",18,70,69,70,70,70,350,6,345,5,10,11,222,112,0,172,51,111,11.5,25.6
"19",23,60,60,60,60,60,176,6,176,0,5,14,105,57,0,44,45,80,18.7,25.9
"20",14,30,30,30,30,0,350,6,343,7,4,44,217,82,0,203,30,77,12.3,26
"21",16,70,70,70,70,70,300,6,297,3,3,20,193,84,0,124,66,89,13.5,30
